first_name,second_name,team_name,position,now_cost,minutes,goals_scored,assists,clean_sheets,expected_goals,expected_assists,total_points,market_value_m
David,Raya Martín,Arsenal,Goalkeeper,60,180,0,0,2,0.0,0.0,12,6.0
Kepa,Arrizabalaga Revuelta,Arsenal,Goalkeeper,49,0,0,0,0,0.0,0.0,0,4.9
Illan,Meslier,Arsenal,Goalkeeper,49,0,0,0,0,0.0,0.0,0,4.9
Gabriel,dos Santos Magalhães,Arsenal,Defender,80,180,0,0,2,0.18,0.03,13,8.0
Jurriën,Timber,Arsenal,Defender,65,0,0,0,0,0.0,0.0,0,6.5
William,Saliba,Arsenal,Defender,60,0,0,0,0,0.0,0.0,0,6.0
Myles,Lewis-Skelly,Arsenal,Midfielder,55,160,0,0,2,0.13,0.13,6,5.5
Riccardo,Calafiori,Arsenal,Defender,57,170,0,2,2,0.15,0.55,20,5.7
Piero,Hincapié,Arsenal,Defender,53,9,0,0,0,0.0,0.0,1,5.3
Benjamin,White,Arsenal,Defender,55,180,0,1,2,0.18,0.26,18,5.5
Cristhian,Mosquera,Arsenal,Defender,55,168,0,0,2,0.0,0.01,12,5.5
Bukayo,Saka,Arsenal,Midfielder,95,157,2,0,2,1.27,0.12,20,9.5
Declan,Rice,Arsenal,Midfielder,74,151,0,0,2,0.07,0.18,8,7.4
Eberechi,Eze,Arsenal,Midfielder,64,59,0,0,0,0.04,0.07,2,6.4
Martin,Ødegaard,Arsenal,Midfielder,66,145,1,0,2,0.29,0.17,14,6.6
Noni,Madueke,Arsenal,Midfielder,63,22,0,0,0,0.0,0.04,1,6.3
Mikel,Merino Zazón,Arsenal,Midfielder,59,33,0,0,0,0.14,0.02,2,5.9
Gabriel,Martinelli Silva,Arsenal,Midfielder,63,0,0,0,0,0.0,0.0,0,6.3
Martín,Zubimendi Ibáñez,Arsenal,Midfielder,54,27,0,0,0,0.0,0.02,2,5.4
Max,Dowman,Arsenal,Midfielder,54,0,0,0,0,0.0,0.0,0,5.4
Ethan,Nwaneri,Arsenal,Midfielder,54,0,0,0,0,0.0,0.0,0,5.4
Fábio,Ferreira Vieira,Arsenal,Midfielder,55,0,0,0,0,0.0,0.0,0,5.5
Reiss,Nelson,Arsenal,Midfielder,55,0,0,0,0,0.0,0.0,0,5.5
